0,123
1,124
2,125
10,133
18,141
19,142
21,144
23,146
24,147
25,148
26,149
31,154
32,155
33,156
35,158
36,159
38,161
40,163
41,164
48,171
49,172
50,173
52,175
53,176
54,177
55,178
56,179
57,180
58,181
59,182
60,183
63,186
64,187
65,188
67,190
68,191
69,192
70,193
71,194
72,195
74,197
75,198
76,199
77,200
83,206
84,207
85,208
86,209
87,210
88,211
94,217
95,218
96,219
98,221
100,223
103,226
104,227
105,228
107,230
108,231
109,232
111,234
112,235
113,236
114,237
115,238
116,239
117,240
118,241
120,243
121,244
122,245
