0,124,1.0
1,125,1.0
2,126,1.0
11,135,1.0
19,143,1.0
20,144,1.0
22,146,1.0
24,148,1.0
25,149,1.0
26,150,1.0
27,151,1.0
32,156,1.0
33,157,1.0
34,158,1.0
36,160,1.0
37,161,1.0
39,163,1.0
41,165,1.0
42,166,1.0
49,173,1.0
50,174,1.0
51,175,1.0
53,177,1.0
54,178,1.0
55,179,1.0
56,180,1.0
57,181,1.0
58,182,1.0
59,183,1.0
60,184,1.0
61,185,1.0
64,188,1.0
65,189,1.0
66,190,1.0
68,192,1.0
69,193,1.0
70,194,1.0
71,195,1.0
72,196,1.0
73,197,1.0
75,199,1.0
76,200,1.0
77,201,1.0
78,202,1.0
84,208,1.0
85,209,1.0
86,210,1.0
87,211,1.0
88,212,1.0
89,213,1.0
95,219,1.0
96,220,1.0
97,221,1.0
99,223,1.0
101,225,1.0
104,228,1.0
105,229,1.0
106,230,1.0
108,232,1.0
109,233,1.0
110,234,1.0
112,236,1.0
113,237,1.0
114,238,1.0
115,239,1.0
116,240,1.0
117,241,1.0
118,242,1.0
119,243,1.0
121,245,1.0
122,246,1.0
123,247,1.0
