43,50,-2147483647,-2147483601,1
59,70,-2147483601,-2147483534,1
79,90,-2147483534,-2147483467,1
102,113,-2147483467,-2147483390,1
120,131,-2147483390,-2147483317,1
138,149,-2147483317,-2147483244,1
157,164,-2147483244,-2147483190,1
173,181,-2147483190,-2147483144,1
194,210,-2147483144,-2147482997,1
220,230,-2147482997,-2147482928,1
239,256,-2147482928,-2147482809,1
264,274,-2147482809,-2147482741,1
284,295,-2147482741,-2147482671,1
320,332,-2147482671,-2147482574,1
344,352,-2147482574,-2147482508,1
360,366,-2147482508,-2147482460,1
386,398,-2147482460,-2147482371,1
64,72,-2147482371,-2147482304,2
44,52,-2147482304,-2147482241,3
23,31,-2147482241,-2147482181,4
46,62,-2147482181,-2147482072,12
65,73,-2147482072,-2147482033,12
86,94,-2147482033,-2147481977,12
113,129,-2147481977,-2147481884,12
137,146,-2147481884,-2147481851,12
149,155,-2147481851,-2147481816,12
158,174,-2147481816,-2147481690,12
189,196,-2147481690,-2147481641,12
210,213,-2147481641,-2147481610,12
216,239,-2147481610,-2147481434,12
248,252,-2147481434,-2147481371,12
255,276,-2147481371,-2147481272,12
279,296,-2147481272,-2147481107,12
298,306,-2147481107,-2147481045,12
20,23,-2147481045,-2147481013,13
30,33,-2147481013,-2147480984,13
22,29,-2147480984,-2147480944,14
38,41,-2147480944,-2147480919,14
49,58,-2147480919,-2147480861,14
11,14,-2147480861,-2147480837,15
16,26,-2147480837,-2147480795,15
29,42,-2147480795,-2147480688,15
13,20,-2147480688,-2147480638,17
23,27,-2147480638,-2147480597,17
41,57,-2147480597,-2147480472,19
68,80,-2147480472,-2147480382,19
82,95,-2147480382,-2147480289,19
97,108,-2147480289,-2147480187,19
110,116,-2147480187,-2147480131,19
67,90,-2147480131,-2147480009,22
92,107,-2147480009,-2147479964,22
120,154,-2147479964,-2147479743,22
172,178,-2147479743,-2147479711,22
19,37,-2147479711,-2147479644,24
47,55,-2147479644,-2147479600,25
72,94,-2147479600,-2147479429,25
107,118,-2147479429,-2147479246,25
131,158,-2147479246,-2147479052,25
170,178,-2147479052,-2147478922,25
187,211,-2147478922,-2147478663,25
227,238,-2147478663,-2147478476,25
250,285,-2147478476,-2147478097,25
292,297,-2147478097,-2147478028,25
304,320,-2147478028,-2147477897,25
332,352,-2147477897,-2147477704,25
354,373,-2147477704,-2147477538,25
36,49,-2147477538,-2147477434,26
53,63,-2147477434,-2147477374,26
70,77,-2147477374,-2147477318,26
61,90,-2147477318,-2147477103,27
93,99,-2147477103,-2147477058,27
107,112,-2147477058,-2147477030,27
81,93,-2147477030,-2147476975,28
59,67,-2147476975,-2147476923,29
78,87,-2147476923,-2147476838,29
95,101,-2147476838,-2147476792,29
107,115,-2147476792,-2147476727,29
120,132,-2147476727,-2147476624,29
137,155,-2147476624,-2147476428,29
247,252,-2147476428,-2147476391,29
