java|2020-02-05 13:12:58, 271|test|D:\git\multi-dependency\src\main\java\cn\edu\fudan\se\multidependency\stub\StubMain.java|cn.edu.fudan.se.multidependency.stub.StubMain.main-(String[])-0-0
java|2020-02-05 13:17:00,448|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.GenericName-(String)-37-3
java|2020-02-05 13:17:00,449|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.Entity-(GenericName, Entity, Integer)-38-2
java|2020-02-05 13:17:00,449|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.deduceQualifiedName-()-39-3
java|2020-02-05 13:17:00,449|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.replace-(String, String)-40-4
java|2020-02-05 13:17:00,449|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getArguments-()-41-5
java|2020-02-05 13:17:00,450|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.startsWith-(String)-42-4
java|2020-02-05 13:17:00,451|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.uniqName-()-43-4
java|2020-02-05 13:17:00,451|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getArguments-()-44-5
java|2020-02-05 13:17:00,452|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getName-()-45-3
java|2020-02-05 13:17:00,453|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\DecoratedEntity.java|depends.entity.DecoratedEntity.DecoratedEntity-(GenericName, Entity, Integer)-46-2
java|2020-02-05 13:17:00,454|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\ContainerEntity.java|depends.entity.ContainerEntity.ContainerEntity-(GenericName, Entity, Integer)-47-2
java|2020-02-05 13:17:00,455|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\TypeEntity.java|depends.entity.TypeEntity.TypeEntity-(GenericName, Entity, Integer)-48-2
java|2020-02-05 13:17:00,457|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaBuiltInType.java|depends.extractor.java.JavaBuiltInType.JavaBuiltInType-()-49-2
java|2020-02-05 13:17:00,457|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\repo\BuiltInType.java|depends.entity.repo.BuiltInType.createBuiltInTypes-()-50-3
java|2020-02-05 13:17:00,457|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaBuiltInType.java|depends.extractor.java.JavaBuiltInType.getBuiltInPrefixStr-()-51-4
java|2020-02-05 13:17:00,458|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaBuiltInType.java|depends.extractor.java.JavaBuiltInType.getBuiltInTypeStr-()-52-4
java|2020-02-05 13:17:00,458|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaBuiltInType.java|depends.extractor.java.JavaBuiltInType.getBuiltInMethods-()-53-4
java|2020-02-05 13:17:00,460|depends|D:\multiple-dependency-project\depends\src\main\java\depends\relations\Inferer.java|depends.relations.Inferer.Inferer-(EntityRepo, ImportLookupStrategy, BuiltInType, boolean)-54-2
java|2020-02-05 13:17:00,463|depends|D:\multiple-dependency-project\depends\src\main\java\depends\util\TemporaryFile.java|depends.util.TemporaryFile.reset-()-55-2
java|2020-02-05 13:17:00,464|depends|D:\multiple-dependency-project\depends\src\test\java\depends\extractor\java\JavaFileImportTest.java|depends.extractor.java.JavaFileImportTest.test_wildcard_import_should_be_lookedup-()-56-0
java|2020-02-05 13:17:00,464|depends|D:\multiple-dependency-project\depends\src\test\java\depends\extractor\java\JavaParserTest.java|depends.extractor.java.JavaParserTest.createParser-(String)-57-1
java|2020-02-05 13:17:00,474|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaFileParser.java|depends.extractor.java.JavaFileParser.JavaFileParser-(String, EntityRepo, Inferer)-58-2
java|2020-02-05 13:17:00,476|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaFileParser.java|depends.extractor.java.JavaFileParser.parse-()-59-1
java|2020-02-05 13:17:00,498|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaLexer.java|depends.extractor.java.JavaLexer.makeRuleNames-()-60-2
java|2020-02-05 13:17:00,498|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaLexer.java|depends.extractor.java.JavaLexer.makeLiteralNames-()-61-2
java|2020-02-05 13:17:00,499|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaLexer.java|depends.extractor.java.JavaLexer.makeSymbolicNames-()-62-2
java|2020-02-05 13:17:00,533|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaLexer.java|depends.extractor.java.JavaLexer.JavaLexer-(CharStream)-63-2
java|2020-02-05 13:17:00,539|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaLexer.java|depends.extractor.java.JavaLexer.getATN-()-64-2
java|2020-02-05 13:17:00,605|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.makeRuleNames-()-65-2
java|2020-02-05 13:17:00,606|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.makeLiteralNames-()-66-2
java|2020-02-05 13:17:00,606|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.makeSymbolicNames-()-67-2
java|2020-02-05 13:17:00,614|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.JavaParser-(TokenStream)-68-2
java|2020-02-05 13:17:00,617|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.getATN-()-69-2
java|2020-02-05 13:17:00,626|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaListener.java|depends.extractor.java.JavaListener.JavaListener-(String, EntityRepo, Inferer)-70-2
java|2020-02-05 13:17:00,628|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\HandlerContext.java|depends.extractor.HandlerContext.HandlerContext-(EntityRepo, Inferer)-71-3
java|2020-02-05 13:17:00,629|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\JavaHandlerContext.java|depends.extractor.java.JavaHandlerContext.JavaHandlerContext-(EntityRepo, Inferer)-72-3
java|2020-02-05 13:17:00,630|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\context\AnnotationProcessor.java|depends.extractor.java.context.AnnotationProcessor.AnnotationProcessor-()-73-3
java|2020-02-05 13:17:00,631|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\java\context\ExpressionUsage.java|depends.extractor.java.context.ExpressionUsage.ExpressionUsage-(HandlerContext, IdGenerator)-74-3
java|2020-02-05 13:17:00,632|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\HandlerContext.java|depends.extractor.HandlerContext.startFile-(String)-75-3
java|2020-02-05 13:17:00,632|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\repo\SimpleIdGenerator.java|depends.entity.repo.SimpleIdGenerator.generateId-()-76-4
java|2020-02-05 13:17:00,632|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.build-(String)-77-4
java|2020-02-05 13:17:00,633|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.GenericName-(String)-78-5
java|2020-02-05 13:17:00,633|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.build-(String)-79-4
java|2020-02-05 13:17:00,633|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.GenericName-(String)-80-5
java|2020-02-05 13:17:00,634|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.Entity-(GenericName, Entity, Integer)-81-4
java|2020-02-05 13:17:00,634|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.deduceQualifiedName-()-82-5
java|2020-02-05 13:17:00,634|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.replace-(String, String)-83-6
java|2020-02-05 13:17:00,634|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getArguments-()-84-7
java|2020-02-05 13:17:00,635|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.startsWith-(String)-85-6
java|2020-02-05 13:17:00,636|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.uniqName-()-86-6
java|2020-02-05 13:17:00,636|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getArguments-()-87-7
