15,23,-2147483647,-2147483586,0
59,104,-2147483586,-2147483249,0
18,77,-2147483249,-2147482927,1
86,104,-2147482927,-2147482759,3
106,137,-2147482759,-2147482453,3
144,156,-2147482453,-2147482377,3
158,162,-2147482377,-2147482325,3
165,173,-2147482325,-2147482270,3
199,213,-2147482270,-2147482177,3
249,257,-2147482177,-2147482091,3
261,267,-2147482091,-2147482039,3
342,360,-2147482039,-2147481866,3
468,491,-2147481866,-2147481724,3
548,558,-2147481724,-2147481642,3
57,73,-2147481642,-2147481549,4
75,110,-2147481549,-2147481347,4
112,156,-2147481347,-2147481050,4
158,167,-2147481050,-2147480999,4
209,224,-2147480999,-2147480884,4
226,235,-2147480884,-2147480820,4
237,251,-2147480820,-2147480730,4
270,289,-2147480730,-2147480542,4
291,306,-2147480542,-2147480430,4
308,321,-2147480430,-2147480352,4
323,342,-2147480352,-2147480219,4
344,358,-2147480219,-2147480056,4
31,45,-2147480056,-2147479979,5
58,66,-2147479979,-2147479922,5
81,95,-2147479922,-2147479843,5
108,116,-2147479843,-2147479783,5
147,386,-2147479783,-2147478273,5
25,33,-2147478273,-2147478215,6
35,45,-2147478215,-2147478164,6
51,67,-2147478164,-2147478064,6
70,86,-2147478064,-2147477940,6
88,101,-2147477940,-2147477840,6
106,115,-2147477840,-2147477785,6
121,138,-2147477785,-2147477681,6
67,76,-2147477681,-2147477624,7
100,115,-2147477624,-2147477515,7
118,127,-2147477515,-2147477442,7
166,175,-2147477442,-2147477345,7
30,42,-2147477345,-2147477255,8
46,66,-2147477255,-2147477077,8
68,100,-2147477077,-2147476811,8
102,107,-2147476811,-2147476761,8
126,139,-2147476761,-2147476708,9
141,148,-2147476708,-2147476657,9
152,162,-2147476657,-2147476581,9
200,210,-2147476581,-2147476510,9
219,250,-2147476510,-2147476354,9
254,277,-2147476354,-2147476208,9
281,298,-2147476208,-2147476129,9
324,340,-2147476129,-2147476015,9
342,361,-2147476015,-2147475919,9
363,396,-2147475919,-2147475698,9
409,420,-2147475698,-2147475601,9
428,541,-2147475601,-2147474833,9
551,577,-2147474833,-2147474681,9
580,614,-2147474681,-2147474435,9
616,633,-2147474435,-2147474327,9
635,658,-2147474327,-2147474164,9
660,680,-2147474164,-2147474013,9
682,699,-2147474013,-2147473897,9
713,741,-2147473897,-2147473679,9
743,754,-2147473679,-2147473583,9
756,767,-2147473583,-2147473487,9
769,785,-2147473487,-2147473359,9
787,797,-2147473359,-2147473278,9
799,810,-2147473278,-2147473186,9
812,828,-2147473186,-2147473047,9
830,849,-2147473047,-2147472896,9
855,883,-2147472896,-2147472740,9
899,914,-2147472740,-2147472631,9
919,983,-2147472631,-2147472005,9
