$0;1578228379251666200;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228380280484300;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;4716394709763751940;1578228380280457100;1578228380280482200;DESKTOP-4RF3KHM;34;4
$1;1578228380280498700;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;4716394709763751940;1578228380280495700;1578228380280497500;DESKTOP-4RF3KHM;35;4
$1;1578228380280514600;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;4716394709763751940;1578228380280509200;1578228380280512100;DESKTOP-4RF3KHM;36;4
$1;1578228380280541500;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;4716394709763751940;1578228380280449500;1578228380280538400;DESKTOP-4RF3KHM;33;3
$1;1578228380280549600;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751940;1578228380280360700;1578228380280547300;DESKTOP-4RF3KHM;30;2
$1;1578228380280563200;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751940;1578228380280560000;1578228380280561800;DESKTOP-4RF3KHM;37;2
$1;1578228380280573900;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751940;1578228380280572000;1578228380280572800;DESKTOP-4RF3KHM;38;2
$1;1578228380280582200;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751940;1578228380280579900;1578228380280581200;DESKTOP-4RF3KHM;39;2
$1;1578228380320677400;public depends.extractor.java.JavaImportLookupStrategy.<init>();<no-session-id>;4716394709763751940;1578228380320659700;1578228380320673200;DESKTOP-4RF3KHM;40;2
$1;1578228380321324200;public depends.entity.repo.BuiltInType.<init>();<no-session-id>;4716394709763751940;1578228380321296900;1578228380321320400;DESKTOP-4RF3KHM;41;2
$1;1578228380321574300;public java.lang.String[] depends.extractor.java.JavaBuiltInType.getBuiltInPrefixStr();<no-session-id>;4716394709763751940;1578228380321559600;1578228380321571700;DESKTOP-4RF3KHM;44;4
$1;1578228380321841900;public java.lang.String[] depends.extractor.java.JavaBuiltInType.getBuiltInTypeStr();<no-session-id>;4716394709763751940;1578228380321662500;1578228380321839000;DESKTOP-4RF3KHM;45;4
$1;1578228380322002100;public java.lang.String[] depends.extractor.java.JavaBuiltInType.getBuiltInMethods();<no-session-id>;4716394709763751940;1578228380321991200;1578228380321999600;DESKTOP-4RF3KHM;46;4
$1;1578228380322018700;public void depends.entity.repo.BuiltInType.createBuiltInTypes();<no-session-id>;4716394709763751940;1578228380321481300;1578228380322017300;DESKTOP-4RF3KHM;43;3
$1;1578228380322023700;public depends.extractor.java.JavaBuiltInType.<init>();<no-session-id>;4716394709763751940;1578228380321415700;1578228380322022700;DESKTOP-4RF3KHM;42;2
$1;1578228380322356500;public depends.entity.repo.BuiltInType.<init>();<no-session-id>;4716394709763751940;1578228380322352200;1578228380322354300;DESKTOP-4RF3KHM;48;3
$1;1578228380322461300;public depends.entity.repo.NullBuiltInType.<init>();<no-session-id>;4716394709763751940;1578228380322451400;1578228380322459100;DESKTOP-4RF3KHM;49;3
