34,depends,44,52,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\PackageEntity.java#F,PackageEntity#T,getChildOfName#M,String#
35,depends,61,73,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\PackageEntity.java#F,PackageEntity#T,getByName#M,String#HashSet<Entity>#
36,depends,4,15,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\PackageNamePrefixRemover.java#F,PackageNamePrefixRemover#T,remove#M,Entity#
37,depends,37,47,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\repo\BuiltInType.java#F,BuiltInType#T,createBuiltInTypes#M,#
38,depends,60,80,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\repo\InMemoryEntityRepo.java#F,InMemoryEntityRepo#T,add#M,Entity#
39,depends,47,78,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,inferLocalLevelEntities#M,Inferer#
40,depends,80,86,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,getTypeEntity#M,Entity#
41,depends,87,98,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,addImplements#M,GenericName#
42,depends,100,111,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,addExtends#M,GenericName#
43,depends,131,150,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,lookupFunctionLocally#M,GenericName#Collection<TypeEntity>#
44,depends,158,177,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,lookupVarLocally#M,GenericName#Collection<TypeEntity>#
45,depends,184,199,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\TypeEntity.java#F,TypeEntity#T,getByName#M,String#HashSet<Entity>#
46,depends,62,76,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\VarEntity.java#F,VarEntity#T,inferLocalLevelEntities#M,Inferer#
47,depends,92,99,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\entity\VarEntity.java#F,VarEntity#T,fillCandidateTypes#M,Inferer#
48,depends,114,133,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,buildDependencies#M,String#String[]#List<String>#boolean#boolean#
49,depends,135,146,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,markAllEntitiesScope#M,#
50,depends,153,160,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,resolveBindings#M,boolean#
51,depends,162,169,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,identifyDependencies#M,#
52,depends,171,197,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,parseAllFiles#M,#
53,depends,199,210,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,parseFile#M,String#
54,depends,223,239,D:\multiple-dependency-project\train-ticket\depends\src\main\java\depends\extractor\AbstractLangProcessor.java#F,AbstractLangProcessor#T,buildIncludePath#M,#
